Dactylos shattered a wolf orb at Fri May 21 22:05:36 1999.
Creg shattered a brownie orb at Tue Jan 14 01:22:55 2020.
Creg shattered a dire wolf orb at Tue Jan 14 01:50:48 2020.
Creg shattered a minotaur orb at Tue Jan 14 01:51:42 2020.
Tiny shattered a minotaur orb at Thu Jan 16 02:15:22 2020.
Tiny shattered a minotaur orb at Thu Jan 16 02:16:25 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:00:44 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:01:32 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:02:34 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:02:34 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:02:35 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:02:35 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:02:35 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:02:35 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:02:35 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:02:36 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:20 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:21 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:21 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:21 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:22 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:22 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:22 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:22 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:22 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:23 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:23 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:23 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:23 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:23 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:24 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:24 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:24 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:24 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:10:24 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:43 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:44 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:44 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:44 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:45 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:45 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:45 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:45 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:45 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:46 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:46 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:46 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:46 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:46 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:47 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:47 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:47 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:47 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:48 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:48 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:48 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:48 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:48 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:49 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:49 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:49 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:49 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:49 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:50 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:50 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:50 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:50 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:50 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:51 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:51 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:51 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:51 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:13:51 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:08 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:09 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:09 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:09 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:10 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:10 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:10 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:10 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:10 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:11 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:11 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:11 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:11 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:11 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:11 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:12 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:12 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:12 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:12 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:13 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:13 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:13 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:13 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:13 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:14 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:14 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:14 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:14 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:14 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:15 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:15 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:15 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:15 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:15 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:16 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:16 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:16 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:16 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:16 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:17 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:17 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:17 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:17 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:17 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:18 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:18 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:18 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:18 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:18 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:19 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:19 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:19 2020.
Tiny shattered a minotaur orb at Sat Jan 18 16:16:19 2020.
